id,mood_tag,text,tone,language,safety_flag
1,confused,"You are doing your best to understand; take your time and trust yourself.",supportive,English,safe
2,anxious,"You can breathe through this moment; your feelings are valid.",calming,English,safe
3,depressed,"You are not alone and your pain matters; brighter days are possible.",hopeful,English,safe
4,stressed,"You have overcome challenges before, and you can handle this too.",reassuring,English,safe
5,sad,"It's okay to feel sad; let yourself rest and heal.",gentle,English,safe
6,happy,"Celebrate your happiness and share your light with others.",uplifting,English,safe
7,lonely,"Even when you feel alone, you are deeply valued and loved.",comforting,English,safe
8,excited,"Your excitement is a sign of wonderful things ahead—enjoy every moment!",joyful,English,safe
9,suicidal,"You matter. Please reach out for help; you deserve support and care.",urgent,English,flag
10,betrayed,"Your trust was broken, but you can rebuild and protect your heart.",validating,English,safe
11,lost,"It's okay to not have all the answers; your path will become clearer.",gentle,English,safe
12,angry,"Your anger is valid; let it pass and express it in healthy ways.",grounded,English,safe
13,abandoned,"You are worthy of love and care, regardless of who left.",reassuring,English,safe
14,hopeful,"Hold onto hope—it can guide you toward healing and happiness.",encouraging,English,safe
15,aloof,"It’s okay to take space and reflect; your boundaries are valuable.",accepting,English,safe
16,nonchalant,"Your calmness can help you weather any storm.",neutral,English,safe
17,apprehensive,"You are courageous for facing uncertainty; trust yourself.",encouraging,English,safe
18,dark,"Even in darkness, a spark of light remains for you.",reassuring,English,safe
19,dejected,"You will find strength again; this feeling is temporary.",gentle,English,safe
20,rejected,"Rejection does not define your worth; you are valuable.",validating,English,safe
21,gloomy,"Clouds pass, and so will this mood; brighter moments await.",hopeful,English,safe
22,erratic,"It's okay to feel unpredictable; take time to ground yourself.",calming,English,safe
23,horny,"Your desires are natural; honor them with respect and care.",neutral,English,safe
24,fearful,"You are safe right now; courage grows with every step.",reassuring,English,safe
25,glum,"Your sadness is understood; let yourself rest and recover.",gentle,English,safe
26,heartbroken,"Healing takes time; you are strong enough to mend.",supportive,English,safe
27,hostile,"Your feelings are powerful—channel them into positive change.",transforming,English,safe
28,impatient,"Patience is difficult but rewarding; progress will come.",encouraging,English,safe
29,miserable,"You are allowed to feel miserable; comfort is possible.",gentle,English,safe
30,jealous,"Your feelings are normal; focus on your own growth and joy.",supportive,English,safe
31,possessive,"Letting go empowers you and your relationships.",encouraging,English,safe
32,mournful,"Your grief is sacred; honor your feelings and memories.",gentle,English,safe
33,nervous,"You can do this; each step forward is a victory.",encouraging,English,safe
34,overwhelmed,"Pause and breathe; you are capable of handling things one at a time.",reassuring,English,safe
35,ominous,"Even when things seem uncertain, you can find your way.",reassuring,English,safe
36,pessimistic,"Your perspective matters; hope can grow in unlikely places.",hopeful,English,safe
37,resentful,"Forgiveness is a gift for yourself; you deserve peace.",healing,English,safe
38,restless,"Channel your energy into something positive; movement helps.",motivating,English,safe
39,solemn,"Your thoughtful nature is a strength; honor your feelings.",accepting,English,safe
40,tense,"Relax your body and mind; you deserve calm.",calming,English,safe
41,uneasy,"Trust yourself to navigate this; you are resilient.",reassuring,English,safe
42,unfriendly,"It’s okay to need space; kindness starts with yourself.",gentle,English,safe
43,unstable,"You are not alone; support is available as you seek stability.",supportive,English,safe
44,unsteady,"One step at a time; you will find your balance again.",reassuring,English,safe
45,wretched,"No feeling lasts forever; you are stronger than you know.",hopeful,English,safe
46,defensive,"Your boundaries are valid; protect your peace.",affirming,English,safe
47,nostalgic,"Your memories are precious; cherish them and move forward.",reflective,English,safe
