id,category,title,content,duration_min,language
1,confused,Grounding Exercise,Take a few deep breaths and write down what is causing your confusion. Break your thoughts into smaller, manageable parts.,10,English
2,anxious,Breathing Technique,Practice box breathing: inhale for 4 counts, hold for 4, exhale for 4, hold for 4. Repeat until you feel calmer.,5,English
3,depressed,Sunlight Exposure,Go for a short walk outside and let yourself soak up natural light. Sunlight helps boost mood and energy.,15,English
4,stressed,Progressive Muscle Relaxation,Tense and release each muscle group in your body slowly, starting from your toes and moving upward.,10,English
5,sad,Expressive Writing,Write a letter to yourself expressing your feelings. Give yourself permission to feel and release sadness.,15,English
6,happy,Gratitude Journal,Write down three things you’re grateful for today to enhance and sustain your happiness.,5,English
7,lonely,Social Connection,Reach out to a trusted friend or family member with a message or call, even if just to say hello.,10,English
8,excited,Mindful Pause,Take a few moments to breathe deeply and notice how excitement feels in your body. Celebrate the feeling!,5,English
9,suicidal,Immediate Support,Call a helpline or trusted person and let them know you need support. Your life is valuable.,20,English
10,betrayed,Self-Compassion Practice,Repeat a gentle mantra: “I am worthy of love and trust.” Focus on caring for yourself.,5,English
11,lost,Vision Board,Spend time creating a vision board with images/words that inspire you. It may help clarify your direction.,30,English
12,angry,Physical Release,Do a safe physical activity (like brisk walking or punching a pillow) to release anger in a healthy way.,10,English
13,abandoned,Affirmation Mirror,Gently repeat affirmations in front of a mirror: “I am enough. I am cared for.”,5,English
14,hopeful,Goal Setting,Write down one small goal and a step you can take toward it. Hope grows through action.,10,English
15,aloof,Mindful Observation,Spend a few minutes observing your surroundings without judgment. Notice colors, shapes, and sounds.,5,English
16,nonchalant,Body Scan,Scan your body for tension or discomfort. Notice if your nonchalance hides stress or fatigue.,5,English
17,apprehensive,Journaling,Writes out your worries and possible outcomes. This can help lessen your apprehension.,10,English
18,dark,Light Therapy,Sit near a window or light source and let yourself absorb warmth and brightness.,15,English
19,dejected,Supportive Message,Text a friend or loved one and let them know you need encouragement.,5,English
20,rejected,Self-Care Ritual,Do something kind for yourself, such as making tea or taking a warm bath.,20,English
21,gloomy,Fresh Air,Open a window or step outside for fresh air; it can lift a gloomy mood.,5,English
22,erratic,Routine Planning,Write down a simple routine for the next few hours to bring structure and calm.,10,English
23,horny,Physical Activity,Channel energy into safe physical exercise, such as yoga or dancing.,15,English
24,fearful,Safe Space Visualization,Visualize a place where you feel completely safe and imagine yourself there.,5,English
25,glum,Music Therapy,Play music that soothes you; let yourself relax into the sound.,10,English
26,heartbroken,Comfort Objects,Hold a comforting object (like a soft blanket or stuffed animal) to soothe yourself.,5,English
27,hostile,Anger Journaling,Write down what triggered your hostility and how you might respond differently.,10,English
28,impatient,Gratitude Pause,Pause and list one thing you appreciate about the present moment.,5,English
29,miserable,Shower Ritual,Take a warm shower, imagining the water washing away misery with each drop.,15,English
30,jealous,Self-Awareness Exercise,Acknowledge your feelings without judgment. Write down your strengths and achievements.,10,English
31,possessive,Letting Go Meditation,Practice a short meditation focused on releasing control and trusting others.,10,English
32,mournful,Memory Box,Create a box of comforting memories or objects that remind you of love and support.,20,English
33,nervous,Preparation Practice,Prepare for the upcoming event by rehearsing or visualizing success.,15,English
34,overwhelmed,Prioritization List,Write down tasks and prioritize them. Focus on one thing at a time.,10,English
35,ominous,Reality Check,List what is actually happening versus what you fear might happen.,10,English
36,pessimistic,Positivity Practice,Write down two positive things that happened today, however small.,5,English
37,resentful,Releasing Exercise,Write a letter expressing your resentment, then safely destroy it to let go.,15,English
38,restless,Movement Break,Stand up and stretch, walk around, or do a quick movement routine.,5,English
39,solemn,Reflective Reading,Read a poem or passage that resonates with your mood and reflect on its meaning.,10,English
40,tense,Neck + Shoulder Stretch,Do gentle neck and shoulder stretches to release physical tension.,5,English
41,uneasy,Comfort Drink,Make yourself a soothing drink, such as herbal tea, and enjoy it mindfully.,10,English
42,unfriendly,Kindness Act,Do one small act of kindness for someone else, even anonymously.,10,English
43,unstable,Stability Anchor,Identify one thing that feels stable in your life and focus on it for a few minutes.,5,English
44,unsteady,Balance Practice,Stand on one foot and focus on keeping your balance; switch feet after a minute.,2,English
45,wretched,Care Ritual,Wrap yourself in a blanket and rest with calming music or silence.,10,English
