id,category,title,content,duration_min,language
1,confused,गहरी साँस लें,गहरी सांस लें और अपनी उलझन को लिखें; विचारों को छोटे हिस्सों में बाँटें।,10,हिन्दी
2,anxious,बॉक्स ब्रीदिंग,4 गिनती तक सांस लें, 4 गिनती रोकें, 4 गिनती तक छोड़ें; दोहराएँ जब तक सुकून मिले।,5,हिन्दी
3,depressed,धूप में टहलें,थोड़ी देर बाहर जाएँ और सूरज की धूप लें; यह मनोदशा और ऊर्जा को बढ़ाता है।,15,हिन्दी
4,stressed,मसल रिलैक्सेशन,पैर से सिर तक हर मांसपेशी को कसें और छोड़ें; तनाव कम करें।,10,हिन्दी
5,sad,अभिव्यक्ति लेखन,अपनी भावनाओं को लिखें; खुद को दुख महसूस करने की अनुमति दें।,15,हिन्दी
6,happy,आभार डायरी,आज की तीन अच्छी बातें लिखें; खुशी को बढ़ाएं।,5,हिन्दी
7,lonely,संपर्क बनाएं,किसी दोस्त या परिवार को संदेश या कॉल करें, भले ही सिर्फ हैलो बोलें।,10,हिन्दी
8,excited,माइंडफुल पॉज़,कुछ देर गहरी सांस लेकर अपने उत्साह को महसूस करें।,5,हिन्दी
9,suicidal,तुरंत सहायता लें,हेल्पलाइन या भरोसेमंद व्यक्ति को कॉल करें; आपकी ज़िन्दगी महत्वपूर्ण है।,20,हिन्दी
10,betrayed,आत्मकरुणा मंत्र,आईने में खुद से कहें: "मैं प्यार और विश्वास के योग्य हूँ।",5,हिन्दी
11,lost,विजन बोर्ड बनाएं,प्रेरणादायक शब्द/तस्वीरों से विजन बोर्ड बनाएं; दिशा मिलने में मदद मिलेगी।,30,हिन्दी
12,angry,शारीरिक गतिविधि,तेज़ चलें या तकिए को मारें; गुस्से को स्वस्थ तरीके से निकालें।,10,हिन्दी
13,abandoned,आईना अभ्यास,आईने में खुद को कहें: "मैं पर्याप्त हूँ। मैं cared हूँ।",5,हिन्दी
14,hopeful,लक्ष्य तय करें,एक छोटा लक्ष्य लिखें और उसकी ओर एक कदम बढ़ाएँ।,10,हिन्दी
15,aloof,माइंडफुल ऑब्जर्वेशन,बिना किसी जजमेंट के अपने आसपास की चीजें देखें।,5,हिन्दी
16,nonchalant,बॉडी स्कैन,तनाव या थकावट के लिए शरीर को स्कैन करें।,5,हिन्दी
17,apprehensive,जर्नलिंग,अपने डर और संभावित परिणाम लिखें; चिंता कम होती है।,10,हिन्दी
18,dark,लाइट थेरेपी,खिड़की के पास बैठकर रोशनी लें; मन हल्का होता है।,15,हिन्दी
19,dejected,सहायक संदेश,किसी दोस्त को संदेश भेजें कि आपको प्रोत्साहन चाहिए।,5,हिन्दी
20,rejected,स्व-देखभाल,अपने लिए कोई अच्छा काम करें; जैसे चाय बनाना या स्नान करना।,20,हिन्दी
21,gloomy,ताज़ी हवा,खिड़की खोलें या बाहर जाएँ; मूड हल्का होता है।,5,हिन्दी
22,erratic,रूटीन बनाएं,आने वाले घंटों के लिए आसान रूटीन लिखें; स्थिरता आती है।,10,हिन्दी
23,horny,शारीरिक व्यायाम,योग या डांस करें; ऊर्जा निकालें।,15,हिन्दी
24,fearful,सुरक्षित स्थान कल्पना,एक सुरक्षित जगह की कल्पना करें और खुद को वहाँ महसूस करें।,5,हिन्दी
25,glum,संगीत चिकित्सा,पसंदीदा संगीत सुनें और मन को शांत करें।,10,हिन्दी
26,heartbroken,सहायक वस्तु,कोई सॉफ्ट कंबल या खिलौना पकड़ें; खुद को आराम दें।,5,हिन्दी
